#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.01e+03    4.49e+01      3.40e+00    8.96e-01      3.21e+01    1.42e+00    2.0e-03
   2000      7.06e+02    4.85e+02      3.87e+00    1.94e+00      2.37e+01    1.63e+01    1.8e-03
   4000      5.26e+00    2.96e+03      1.34e+00    8.06e+00      1.85e-01    1.06e+02    1.6e-03
   6000      2.88e+02    1.62e+03      3.20e+00    5.17e+00      1.09e+01    6.15e+01    1.4e-03
   8000      9.46e+01    1.28e+03      1.32e+01    4.85e+00      3.79e+00    5.15e+01    1.2e-03
  10000      2.11e+02    2.08e+02      1.49e-01    1.79e+00      9.07e+00    8.90e+00    1.1e-03
  12000      9.18e+02    2.10e+03      5.31e+00    1.53e+01      4.18e+01    9.59e+01    9.6e-04
  14000      5.35e+02    2.31e+01      2.07e+00    3.03e+01      2.59e+01    0.00e+00    8.5e-04
  16000      1.97e+01    3.15e+02      3.72e+00    6.05e+00      9.89e-01    1.62e+01    7.5e-04
  18000      9.08e+02    2.49e+01      6.52e+00    3.04e+01      4.97e+01    0.00e+00    6.7e-04
  20000      1.26e+02    1.51e+00      1.23e+01    1.79e+00      7.26e+00    0.00e+00    5.9e-04
  22000      2.20e+02    9.46e+02      9.99e-01    4.22e+00      1.36e+01    5.85e+01    5.2e-04
  24000      2.95e+02    1.30e+02      1.29e+01    1.34e+00      1.93e+01    8.55e+00    4.6e-04
  26000      5.62e+01    1.96e+02      1.12e+00    1.12e+00      3.92e+00    1.37e+01    4.1e-04
  28000      6.59e+02    2.41e-02      5.63e+00    2.66e-02      4.88e+01    0.00e+00    3.6e-04
  30000      2.16e+02    4.42e+02      2.13e+00    8.81e+00      1.70e+01    3.48e+01    3.2e-04
  32000      3.82e+01    2.84e+02      9.68e+00    1.80e+00      3.02e+00    2.38e+01    2.8e-04
  34000      5.92e+02    2.70e+02      6.16e+00    2.23e+00      5.26e+01    2.40e+01    2.5e-04
  36000      4.47e+02    5.47e+00      4.93e+00    5.80e+00      4.22e+01    0.00e+00    2.2e-04
  38000      5.66e+01    3.86e+02      9.39e+00    9.42e+00      5.54e+00    3.87e+01    2.0e-04
  40000      3.75e+01    9.00e+02      1.75e+00    9.72e+00      3.99e+00    9.59e+01    1.7e-04
  42000      1.85e+02    1.93e+02      3.08e+00    2.30e+00      2.10e+01    2.19e+01    1.5e-04
