#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.23e+03    6.13e+01      1.77e+00    2.28e+00      3.90e+01    1.94e+00    2.0e-03
   2000      1.73e+02    2.58e+02      1.33e+00    1.33e+00      5.83e+00    8.66e+00    1.8e-03
   4000      5.07e+02    4.63e+02      4.28e+00    8.08e+00      1.81e+01    1.65e+01    1.6e-03
   6000      9.66e+01    1.37e+03      6.10e+00    5.72e+00      3.66e+00    5.19e+01    1.4e-03
   8000      8.70e+02    1.25e+03      4.53e+00    4.31e+00      3.51e+01    5.06e+01    1.2e-03
  10000      1.86e+02    6.62e+02      1.40e+01    2.94e+00      7.94e+00    2.84e+01    1.1e-03
  12000      1.41e+02    3.39e+02      2.36e+01    3.78e+00      6.33e+00    1.54e+01    9.6e-04
  14000      1.32e+02    1.78e+03      1.82e+01    8.53e+00      6.32e+00    8.61e+01    8.5e-04
  16000      5.61e+01    1.42e+02      1.82e+00    2.63e+00      2.89e+00    7.33e+00    7.5e-04
  18000      5.29e+01    1.54e+03      6.25e-01    8.82e+00      2.90e+00    8.42e+01    6.7e-04
  20000      1.69e+03    2.17e+02      3.44e+00    1.45e+00      9.82e+01    1.26e+01    5.9e-04
  22000      5.29e+02    3.90e+02      4.26e+00    9.51e+00      3.27e+01    2.40e+01    5.2e-04
  24000      7.75e+01    2.27e-01      8.34e-01    2.58e-01      5.09e+00    0.00e+00    4.6e-04
  26000      7.00e+02    1.45e+01      3.77e+00    1.62e+01      4.88e+01    0.00e+00    4.1e-04
  28000      8.28e+01    1.13e+02      1.26e+00    2.60e+00      6.14e+00    8.38e+00    3.6e-04
  30000      5.03e+01    1.43e+02      1.01e+00    4.19e+00      3.96e+00    1.13e+01    3.2e-04
  32000      3.75e+02    5.48e+01      1.10e+01    3.05e+00      3.14e+01    4.57e+00    2.8e-04
  34000      3.23e+02    6.45e+00      3.74e+00    6.89e+00      2.87e+01    0.00e+00    2.5e-04
  36000      3.59e+02    1.31e+02      4.26e+00    2.39e+00      3.40e+01    1.24e+01    2.2e-04
  38000      5.04e+01    2.02e+02      3.01e+00    3.64e+00      5.04e+00    2.03e+01    2.0e-04
  40000      4.34e+01    3.68e+02      3.06e+01    5.66e+00      1.37e+00    3.92e+01    1.7e-04
  42000      3.12e+01    3.18e+01      3.63e+00    4.86e+00      3.49e+00    3.45e+00    1.5e-04
  44000      2.94e+02    5.23e+02      4.27e+00    1.65e+01      3.53e+01    6.28e+01    1.4e-04
  46000      4.40e+01    7.51e+02      2.48e+00    9.12e+00      5.60e+00    9.59e+01    1.2e-04
  48000      3.20e+01    9.43e+01      3.21e+00    4.66e+00      4.29e+00    1.27e+01    1.1e-04
  50000      4.94e+02    3.25e+01      5.82e+00    2.83e+00      7.11e+01    4.62e+00    9.5e-05
  52000      1.70e+02    4.01e+01      5.94e+00    3.26e+00      2.60e+01    6.05e+00    8.4e-05
  54000      9.41e+01    1.25e+02      2.14e+00    6.71e+00      1.53e+01    2.02e+01    7.4e-05
