#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.16e+03    5.98e+01      2.73e+00    1.63e+00      3.65e+01    1.89e+00    2.0e-03
   2000      1.48e+02    2.54e+02      7.73e+00    1.56e+01      4.96e+00    8.53e+00    1.8e-03
   4000      1.12e+02    3.13e+02      8.41e+00    3.18e+00      3.99e+00    1.12e+01    1.6e-03
   6000      1.54e+02    2.26e+02      3.47e+00    2.38e+00      5.83e+00    8.58e+00    1.4e-03
   8000      7.27e+02    4.33e+02      2.31e+00    3.15e+00      2.93e+01    1.75e+01    1.2e-03
  10000      7.17e+02    1.89e+02      2.50e+00    1.47e+00      3.08e+01    8.11e+00    1.1e-03
  12000      3.16e+02    4.45e+02      2.68e+00    4.54e+00      1.44e+01    2.03e+01    9.6e-04
  14000      1.21e+03    4.15e+00      2.23e+00    5.43e+00      5.85e+01    0.00e+00    8.5e-04
  16000      3.30e+01    3.28e+02      2.87e-01    8.43e+00      1.70e+00    1.69e+01    7.5e-04
  18000      6.04e+02    1.74e+02      3.27e+00    3.41e+00      3.30e+01    9.51e+00    6.7e-04
  20000      1.15e+03    3.58e+02      2.99e+00    2.63e+00      6.66e+01    2.08e+01    5.9e-04
  22000      5.55e+02    1.93e+00      3.55e+00    2.24e+00      3.43e+01    0.00e+00    5.2e-04
  24000      8.88e+01    1.26e+02      2.17e+00    2.60e+00      5.83e+00    8.28e+00    4.6e-04
  26000      3.72e+01    2.87e+02      1.53e-01    5.96e+00      2.60e+00    2.00e+01    4.1e-04
  28000      2.62e+01    1.12e+02      1.38e-01    2.02e+00      1.95e+00    8.31e+00    3.6e-04
  30000      1.32e+02    6.06e+01      2.88e+00    2.64e+00      1.04e+01    4.76e+00    3.2e-04
  32000      4.77e+01    6.18e+01      4.88e-01    2.19e+00      3.99e+00    5.16e+00    2.8e-04
  34000      5.51e+01    6.81e+02      5.74e+00    1.41e+01      4.86e+00    6.05e+01    2.5e-04
  36000      5.40e+02    1.67e+02      4.24e+00    7.27e+00      5.10e+01    1.58e+01    2.2e-04
  38000      4.61e+02    9.56e+02      3.56e+00    9.70e+00      4.63e+01    9.59e+01    2.0e-04
  40000      3.82e+02    5.33e+02      4.14e+00    1.06e+01      4.07e+01    5.68e+01    1.7e-04
  42000      8.82e+01    6.03e+01      6.57e+00    3.67e+00      9.94e+00    6.78e+00    1.5e-04
  44000      4.40e+02    1.31e-02      5.13e+00    1.36e-02      5.29e+01    0.00e+00    1.4e-04
  46000      4.72e+01    1.76e-01      8.29e+00    1.82e-01      5.85e+00    0.00e+00    1.2e-04
  48000      3.08e+02    2.25e+02      4.53e+00    3.15e+00      4.17e+01    3.06e+01    1.1e-04
  50000      5.16e+02    2.48e+01      5.59e+00    2.93e+00      7.43e+01    3.47e+00    9.5e-05
  52000      2.46e+02    3.82e-02      4.21e+00    3.91e-02      3.76e+01    0.00e+00    8.4e-05
